day,Date,Deep work 4h,Journal,Meditation,"Progress ",Read 10p,Running 30min,Workout
"@December 28, 2025 ",,No,No,No,0%,No,No,No
"@December 29, 2025 ",,No,No,No,0%,No,No,No
"@December 26, 2025 ",,No,No,No,0%,No,No,No
"@December 31, 2025 ",,No,No,No,0%,No,No,No
"@January 12, 2026 ",,No,No,No,0%,No,No,No
"@January 7, 2026 ",,No,No,No,0%,No,No,No
"@January 9, 2026 ",,No,No,No,0%,No,No,No
"@January 13, 2026 ",,No,No,No,0%,No,No,No
"@January 10, 2026 ",,No,No,No,0%,No,No,No
"@January 14, 2026 ",,No,No,No,0%,No,No,No
"@January 16, 2026 ",,No,No,No,0%,No,No,No
"@January 8, 2026 ",,No,No,No,0%,No,No,No
"@January 17, 2026 ",,No,No,No,0%,No,No,No
"@January 15, 2026 ",,No,No,No,0%,No,No,No
"@January 6, 2026 ",,No,No,No,0%,No,No,No
"@January 11, 2026 ",,No,No,No,0%,No,No,No
"@January 21, 2026 ",,No,No,No,0%,No,No,No
"@August 14, 2024 ",,No,No,No,0%,No,No,No
"@January 19, 2026 ",,No,No,No,0%,No,No,No
"@January 18, 2026 ",,No,No,No,0%,No,No,No
"@January 27, 2026 ",,No,No,No,0%,No,No,No
"@January 26, 2026 ",,No,No,No,0%,No,No,No
"@January 24, 2026 ",,No,No,No,0%,No,No,No
"@January 22, 2026 ",,No,No,No,0%,No,No,No
"@January 23, 2026 ",,No,No,No,0%,No,No,No
"@January 25, 2026 ",,No,No,No,0%,No,No,No
"@January 28, 2026 ",,No,No,No,0%,No,No,No
"@January 20, 2026 ",,No,No,No,0%,No,No,No
"@March 21, 2024 ",,No,No,No,0%,No,No,No
"@February 3, 2026 ",,No,No,No,0%,No,No,No
"@February 6, 2026 ",,No,No,No,0%,No,No,No
"@August 29, 2024 ",,No,No,No,0%,No,No,No
"@August 8, 2024 ",,No,No,No,0%,No,No,No
"@September 10, 2024 ",,No,No,No,0%,No,No,No
"@January 30, 2026 ",,No,No,No,0%,No,No,No
"@February 4, 2026 ",,No,No,No,0%,No,No,No
"@February 5, 2026 ",,No,No,No,0%,No,No,No
"@January 29, 2026 ",,No,No,No,0%,No,No,No
"@February 2, 2026 ",,No,No,No,0%,No,No,No
"@February 1, 2026 ",,No,No,No,0%,No,No,No
"@January 31, 2026 ",,No,No,No,0%,No,No,No
"@October 2, 2024 ","October 2, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
,"July 31, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@August 15, 2024 ",,No,No,No,0%,No,No,No
"@August 28, 2024 ",,No,No,No,0%,No,No,No
"@August 23, 2024 ",,No,No,No,0%,No,No,No
"@September 29, 2024 ","September 29, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@August 27, 2024 ",,No,No,No,0%,No,No,No
"@September 5, 2024 ",,No,No,No,0%,No,No,No
,"July 30, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@May 27, 2024 ","May 28, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@August 9, 2024 ",,No,No,No,0%,No,No,No
"@August 21, 2024 ",,No,No,No,0%,No,No,No
"@May 29, 2024 ",,No,Yes,No,17%,No,No,No
,"May 13, 2024",No,No,No,0%,No,No,No
"@August 31, 2024 ",,No,No,No,0%,No,No,No
"@August 18, 2024 ",,No,No,No,0%,No,No,No
"@September 13, 2024 ",,No,No,No,0%,No,No,No
"@August 22, 2024 ",,No,No,No,0%,No,No,No
"@August 13, 2024 ",,No,No,No,0%,No,No,No
"@August 26, 2024 ",,No,No,No,0%,No,No,No
"@August 19, 2024 ",,No,No,No,0%,No,No,No
"@September 30, 2024 ","September 30, 2024",Yes,No,Yes,34%,No,No,No
"@September 11, 2024 ",,No,No,No,0%,No,No,No
"@August 11, 2024 ",,No,No,No,0%,No,No,No
"@March 22, 2024 ",,No,No,No,0%,No,No,No
"@May 28, 2024 ",,No,Yes,No,17%,No,No,No
"@May 31, 2024 ",,No,Yes,No,17%,No,No,No
"@August 6, 2024 ",,No,No,No,0%,No,No,No
"@March 20, 2024 ",,No,No,No,0%,No,No,No
"@August 25, 2024 ",,No,No,No,0%,No,No,No
,"August 1, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@March 10, 2024 ","March 11, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@August 16, 2024 ",,No,No,No,0%,No,No,No
"@March 18, 2024 ",,No,No,No,0%,No,No,No
"@September 1, 2024 ",,No,No,No,0%,No,No,No
"@March 16, 2024 ",,No,No,No,0%,No,No,No
"@August 5, 2024 ",,No,No,No,0%,No,No,No
"@August 3, 2024 ",,No,No,No,0%,No,No,No
"@August 4, 2024 ",,No,No,No,0%,No,No,No
"@September 7, 2024 ",,No,No,No,0%,No,No,No
"@March 14, 2024 ",,No,No,No,0%,No,No,No
"@August 30, 2024 ",,No,No,No,0%,No,No,No
"@May 30, 2024 ",,No,Yes,No,17%,No,No,No
"@October 3, 2024 ","October 3, 2024",Yes,Yes,Yes,84%,No,Yes,Yes
"@August 17, 2024 ",,No,No,No,0%,No,No,No
"@March 12, 2024 ","March 9, 2024",Yes,Yes,Yes,84%,No,Yes,Yes
"@September 12, 2024 ",,No,No,No,0%,No,No,No
"@September 4, 2024 ",,No,No,No,0%,No,No,No
"@March 19, 2024 ","May 29, 2024",Yes,No,Yes,67%,No,Yes,Yes
"@September 3, 2024 ",,No,No,No,0%,No,No,No
"@August 20, 2024 ",,No,No,No,0%,No,No,No
"@August 10, 2024 ",,No,No,No,0%,No,No,No
"@August 24, 2024 ",,No,No,No,0%,No,No,No
"@August 12, 2024 ",,No,No,No,0%,No,No,No
"@March 13, 2024 ",,No,No,No,0%,No,No,No
"@February 7, 2026 ",,No,No,No,0%,No,No,No
